,Rajonas,Gatve,Kaina,Kvadrato kaina,Kambariai,Plotas,Aukstas,Is viso aukstu
1043,Justiniškės,Justiniškių g.,400,"10,00",2,40,5,5
1044,Karoliniškės,Algimanto Petro Kavoliuko g.,240,"7,27",1,33,9,9
1045,"Vilnius, Pašilaičiai",Laisvės pr.,97000,1 617,2,60,9,9
1046,Pagiriai,Šiltnamių g.,320,"6,15",2,52,4,5
1047,Vaidotų k.,Šaltinio g.,320,"6,15",2,52,4,5
1048,Baltupiai,Juozo Balčikonio g.,420,"8,46",2,49.64,2,4
1049,Markučiai,Subačiaus g.,360,"8,00",2,45,3,9
1050,Užupis,Subačiaus g.,360,"8,00",2,45,3,9
1051,Jeruzalė,Rugių g.,600,"6,32",4,95,5,6
1052,Naujamiestis,Mortos g.,419,"10,22",1,41,1,7
1053,Naujoji Vilnia,Pergalės g.,225,"11,25",1,20,3,4
1054,Naujamiestis,Savanorių pr.,420,"11,35",1,37,4,5
1055,Antakalnis,L. Sapiegos g.,700,"7,00",2,100,2,6
1056,Senamiestis,J. Basanavičiaus g.,500,"5,00",3,100,2,4
1057,Pašilaičiai,Leičių g.,599,"8,93",3,67.09,3,9
1058,Šnipiškės,Kalvarijų g.,350,"5,47",3,64,4,5
1059,Naujamiestis,Bokšto g.,570,"23,22",1,24.55,4,4
1060,Senamiestis,Bokšto g.,570,"23,22",1,24.55,4,4
1061,Šeškinė,Čiobiškio g.,380,"5,52",3,68.8,6,9
1062,Užupis,Krivių g.,800,"5,16",4,155,2,2
1063,Naujamiestis,M. K. Čiurlionio g.,690,"12,32",2,56,5,6
1064,Pašilaičiai,Virbeliškių g.,350,"7,03",2,49.79,7,8
1065,Šnipiškės,Žalgirio g.,500,"10,42",2,48,3,7
1066,Senamiestis,Bokšto g.,570,"10,36",2,55,2,4
1067,Senamiestis,Bokšto g.,570,"10,32",2,55.23,2,4
1068,Šeškinė,Gelvonų g.,330,"9,17",2,36,3,5
1069,Senamiestis,Mindaugo g.,450,"9,38",2,48,4,6
1070,Naujamiestis,Mindaugo g.,450,"9,38",2,48,4,6
1071,Žvėrynas,Latvių g.,420,"15,80",2,26.59,2,3
1072,Senamiestis,Šiaulių g.,590,"13,72",2,43,1,3
1073,Naujamiestis,M. K. Čiurlionio g.,3500,"17,77",4,197,6,7
1074,Senamiestis,M. K. Čiurlionio g.,3500,"17,77",4,197,6,7
1075,Lazdynai,Erfurto g.,280,"8,48",1,33,12,12
1076,Žvėrynas,Liepyno g.,1000,"12,50",3,80,8,9
1077,"Vilnius, Pašilaičiai",Laisvės pr.,97000,1 617,2,60,9,9
1078,Naujoji Vilnia,Dūmų g.,280,"7,37",2,38,1,3
1079,Senamiestis,Polocko g.,810,"12,46",2,65,3,3
1080,Užupis,Polocko g.,810,"12,46",3,65,3,3
1081,Žirmūnai,Jurgio Lebedžio g.,800,"16,67",3,48,5,5
1082,Pašilaičiai,Laisvės pr.,450,"4,84",3,93,5,5
1083,Senamiestis,Vokiečių g.,590,"8,94",2,66,2,3
1084,Antakalnis,Vytauto Žalakevičiaus g.,450,"9,18",2,49,4,6
1085,Antakalnis,Vytauto Žalakevičiaus g.,450,"9,18",2,49,4,6
1086,Naujamiestis,Birželio 23-iosios g.,770,"13,28",3,58,2,9
1087,Naujamiestis,Kauno g.,390,"14,44",2,27,4,4
1088,Šiaurės miestelis,Kazimiero Ladygos g.,500,"7,81",2,64,7,8
1089,Baltupiai,Jurgio Lebedžio g.,420,"12,35",2,34,1,5
1090,Šnipiškės,Jurgio Lebedžio g.,420,"12,35",2,34,1,5
1091,Antakalnis,Antakalnio g.,130,"13,00",1,10,2,5
1092,Naujamiestis,Mindaugo g.,400,"13,33",1,30,6,8
1093,Senamiestis,Mindaugo g.,450,"20,45",1,22,2,6
1094,Šiaurės miestelis,S. Žukausko g.,380,"9,05",2,42,2,9
1095,Šiaurės miestelis,S. Žukausko g.,380,"9,50",2,40,2,9
1096,Šiaurės miestelis,S. Žukausko g.,380,"9,50",2,40,2,9
