,Rajonas,Gatve,Kaina,Kvadrato kaina,Kambariai,Plotas,Aukstas,Is viso aukstu
2606,Šeškinė,Ozo g.,165000,1969,4,83.8,3,5
2607,Šeškinė,Siesikų g.,79300,2488,1,31.87,5,8
2608,Naujamiestis,Gerosios Vilties g.,64500,1947,1,33.12,2,6
2609,Naujamiestis,Gerosios Vilties g.,63000,1902,1,33.12,2,6
2610,Antakalnis,Gailestingųjų Seserų g.,199000,2726,3,73,1,3
2611,Antakalnis,L. Sapiegos g.,114500,2340,2,48.93,4,7
2612,Antakalnis,L. Sapiegos g.,147800,2237,3,66.06,4,7
2613,Antakalnis,L. Sapiegos g.,120300,2280,2,52.76,4,7
2614,Antakalnis,L. Sapiegos g.,114400,2302,2,49.7,4,7
2615,Antakalnis,L. Sapiegos g.,154600,2187,3,70.69,4,7
2616,Antakalnis,L. Sapiegos g.,110300,2250,2,49.03,3,7
2617,Antakalnis,L. Sapiegos g.,144800,2196,3,65.94,3,7
2618,Antakalnis,L. Sapiegos g.,117200,2216,2,52.89,3,7
2619,Antakalnis,L. Sapiegos g.,147500,2091,3,70.55,3,7
2620,Pašilaičiai,Ukmergės g.,121000,1514,3,79.93,8,8
2621,Naujininkai,A. Jaroševičiaus g.,35500,777,2,45.66,2,2
2622,Baltupiai,Kolektyvo g.,190000,1462,5,130,1,2
2623,Senamiestis,T. Vrublevskio g.,425000,2742,5,155,4,5
2624,Senamiestis,T. Vrublevskio g.,195000,2635,3,74,4,5
2625,Naujoji Vilnia,Gerovės g.,79500,987,4,80.58,1,5
2626,Žirmūnai,Šeimyniškių g.,214999,2219,4,96.89,1,2
2627,Šnipiškės,Šeimyniškių g.,214999,2219,4,96.89,1,2
2628,Naujamiestis,Savanorių pr.,244000,3486,3,70,1,8
2629,Senamiestis,Šv. Stepono g.,89000,1220,5,72.95,3,3
2630,Lazdynėliai,Rūko g.,77000,1638,2,47,2,3
2631,Šeškinė,Gelvonų g.,86500,1368,3,63.25,3,5
2632,Senamiestis,Šv. Stepono g.,110000,994,3,110.63,3,3
2633,Senamiestis,Šv. Stepono g.,349000,999,7,349.4,3,3
2634,Markučiai,Sibiro g.,79000,1302,3,60.69,1,2
2635,Šnipiškės,Konstitucijos pr.,198999,2884,3,69,21,27
2636,Senamiestis,Aguonų g.,425000,2977,5,142.76,5,6
2637,Senamiestis,Didžioji g.,300000,5556,2,54,2,4
2638,Trakų Vokė,Žalioji a.,49000,1155,2,42.42,2,2
2639,Lazdynai,Architektų g.,66500,1091,3,60.95,5,5
2640,Pašilaičiai,Ukmergės g.,130000,1704,3,76.28,4,9
2641,Senamiestis,Šv. Stepono g.,122000,999,2,122.14,3,3
2642,Senamiestis,Šv. Stepono g.,116000,995,3,116.63,3,3
2643,Užupis,Malūnų g.,176000,4142,2,42.49,2,3
2644,Žvėrynas,Malonioji g.,100000,1225,4,81.61,2,2
2645,Baltupiai,Didlaukio g.,18990,1073,1,17.7,6,12
2646,Pilaitė,Simono Grunau g.,119900,1262,4,95,1,2
2647,Žirmūnai,Olimpiečių g.,304847,3542,3,86.07,3,4
2648,Šeškinė,Ozo g.,86000,1934,2,44.46,2,5
2649,Šeškinė,Ozo g.,114000,1817,3,62.73,2,5
2650,Senamiestis,Mindaugo g.,129000,3071,2,42,2,3
2651,Naujamiestis,Savanorių pr.,145000,1933,3,75,1,5
2652,Senamiestis,Aušros Vartų g.,980000,1463,20,670,2,3
2653,Senamiestis,Šv. Stepono g.,238000,997,5,238.77,3,3
2654,Šeškinė,Siesikų g.,88100,1847,2,47.71,1,9
2655,Pašilaičiai,Perkūnkiemio g.,113000,1355,3,83.37,6,10
2656,Pilaitė,Tolminkiemio g.,65000,1287,2,50.49,5,5
2657,Antakalnis,Žolyno g.,300000,2585,4,116.05,4,4
2658,Šnipiškės,Konstitucijos pr.,223533,2550,4,87.66,11,29
2659,Naujamiestis,Konstitucijos pr.,222852,2450,4,90.96,10,29
2660,Šnipiškės,Konstitucijos pr.,390156,3900,3,100.04,14,29
2661,Naujoji Vilnia,A. Kojelavičiaus g.,117000,1560,3,75,2,2
2662,Kalnėnai,Kroatų g.,125000,1185,4,105.45,1,2
2663,Pilaitė,Tolminkiemio g.,89999,1027,4,87.62,5,5
2664,Pašilaičiai,Perkūnkiemio g.,97000,1528,2,63.5,8,9
2665,Senamiestis,Stiklių g.,360000,4390,4,82,4,4
2666,Žirmūnai,Kalvarijų g.,13950,401,2,34.75,2,2
2667,Žvėrynas,Vytauto g.,13410,715,1,18.75,1,1
2668,Viršuliškės,Spaudos g.,54500,1968,1,27.69,6,16
2669,Viršuliškės,Spaudos g.,54500,1968,1,27.69,6,16
2670,Užupis,Manufaktūrų g.,75000,2040,1,36.76,2,4
2671,Antakalnis,Tverečiaus g.,95000,1347,4,70.54,1,7
2672,Senamiestis,Trakų g.,399968,3495,3,114.44,2,3
2673,Šnipiškės,Konstitucijos pr.,239895,2700,4,88.85,6,29
2674,Naujamiestis,Raugyklos g.,221000,2680,4,82.45,2,4
2675,Senamiestis,Raugyklos g.,221000,2679,4,82.5,2,4
2676,Šnipiškės,Konstitucijos pr.,162965,2750,2,59.26,11,29
2677,Senamiestis,Konstitucijos pr.,162965,2750,2,59.26,11,29
2678,Žirmūnai,Kalvarijų g.,329900,2307,4,143.02,7,8
2679,Šnipiškės,Kalvarijų g.,329900,2307,4,143.02,7,8
2680,Antakalnis,Vytauto Žalakevičiaus g.,161000,2758,2,58.37,4,6
2681,Šnipiškės,Konstitucijos pr.,160839,2700,3,59.57,12,29
2682,Šnipiškės,Konstitucijos pr.,163000,2739,2,59.5,12,29
2683,Naujamiestis,Konstitucijos pr.,160000,2667,2,60,12,29
2684,Šeškinė,Siesikų g.,329000,2329,5,141.25,8,8
2685,Pašilaičiai,Leičių g.,64000,1187,2,53.9,1,9
2686,Pašilaičiai,Leičių g.,64000,1187,2,53.9,1,9
2687,Pašilaičiai,Leičių g.,62000,1292,2,48,1,9
2688,Šnipiškės,Kernavės g.,92000,2576,2,35.71,2,6
2689,Šnipiškės,Kernavės g.,85000,2389,2,35.58,1,6
2690,Viršuliškės,Spaudos g.,70600,1699,2,41.55,8,16
2691,Fabijoniškės,S. Stanevičiaus g.,55900,1402,1,39.87,3,5
2692,Antakalnis,Olandų g.,87000,2472,2,35.2,2,6
2693,Lazdynėliai,Rūko g.,48000,1800,1,26.67,2,3
2694,Šeškinė,Siesikų g.,112900,2028,3,55.66,1,8
2695,Lazdynėliai,Lazdynėlių g.,97500,1681,3,58,4,4
2696,Lazdynėliai,Lazdynėlių g.,78400,1702,2,46.05,4,4
2697,Lazdynėliai,Lazdynėlių g.,87900,1660,3,52.95,3,4
2698,Lazdynėliai,Lazdynėlių g.,92700,1644,3,56.39,3,4
2699,Lazdynėliai,Lazdynėlių g.,79200,1662,2,47.64,3,4
2700,Lazdynėliai,Lazdynėlių g.,56800,1709,1,33.24,2,4
2701,Lazdynėliai,Lazdynėlių g.,49600,1696,1,29.25,2,4
2702,Lazdynėliai,Lazdynėlių g.,105000,1666,4,63.03,2,4
2703,Lazdynėliai,Lazdynėlių g.,48300,1651,1,29.25,1,4
2704,Lazdynėliai,Lazdynėlių g.,73900,1637,2,45.14,1,4
2705,Lazdynėliai,Lazdynėlių g.,86300,1669,2,51.7,3,5
2706,Lazdynėliai,Lazdynėlių g.,86900,1646,3,52.81,3,5
2707,Lazdynėliai,Lazdynėlių g.,89300,1648,2,54.18,4,5
2708,Lazdynėliai,Lazdynėlių g.,94500,1710,3,55.25,5,5
2709,Lazdynėliai,Lazdynėlių g.,61800,1695,2,36.45,1,4
2710,Lazdynėliai,Lazdynėlių g.,79000,1687,2,46.84,3,4
2711,Lazdynėliai,Lazdynėlių g.,76900,1683,2,45.68,4,4
2712,Lazdynėliai,Lazdynėlių g.,59600,1746,1,34.13,4,4
2713,Lazdynėliai,Lazdynėlių g.,111600,1639,4,68.08,3,5
2714,Lazdynėliai,Lazdynėlių g.,111600,1629,4,68.52,3,5
2715,Antakalnis,Antakalnio g.,100000,1658,2,60.33,1,3
2716,Senamiestis,Didžioji g.,209000,3732,3,56,3,3
2717,Senamiestis,Šv. Stepono g.,341900,3225,4,106,2,2
2718,Šnipiškės,Konstitucijos pr.,482000,4228,3,114,25,29
2719,Senamiestis,Šaltinių g.,282466,5100,2,55.39,6,6
2720,Senamiestis,Šaltinių g.,133155,3200,2,41.61,6,6
2721,Šnipiškės,Giedraičių g.,170000,1071,6,158.67,2,2
2722,Šnipiškės,Giedraičių g.,104000,1937,3,53.68,4,9
2723,Pašilaičiai,Ukmergės g.,88000,1397,2,63,2,9
2724,Lazdynėliai,Rūko g.,158000,1596,3,99,1,3
2725,Lazdynėliai,Rūko g.,50000,1687,1,29.63,1,3
2726,Lazdynėliai,Pažagiškių g.,140000,1386,3,101,3,3
2727,Fabijoniškės,Ukmergės g.,8100,301,1,26.94,1,1
2728,Naujininkai,Prūsų g.,31300,896,2,34.92,2,2
2729,Šnipiškės,Kalvarijų g.,24500,707,1,34.64,1,1
2730,Naujininkai,Dzūkų g.,10900,532,1,20.5,1,1
2731,Šnipiškės,Krokuvos g.,18000,801,1,22.48,1,1
2732,Senamiestis,A. Jakšto g.,145000,2685,2,54,5,5
2733,Senamiestis,A. Jakšto g.,145000,2685,2,54,5,5
2734,Naujamiestis,Naugarduko g.,96000,1846,3,52,1,3
2735,Pašilaičiai,Gabijos g.,82500,1607,2,51.35,2,5
2736,Užupis,Užupio g.,680000,2957,5,230,2,3
2737,Senamiestis,Šiaulių g.,640000,4923,3,130,4,4
2738,Šnipiškės,Konstitucijos pr.,1300000,4075,4,319,27,27
2739,Senamiestis,Vokiečių g.,279000,2942,3,94.82,4,4
2740,Jeruzalė,Rugių g.,110000,1746,2,63,2,5
